Work Item ID,Issue Type,Parent ID,Epic Link,Summary,Description,Owner,Channel,Start Date,Due Date
T001,Task,,MCM-1139,Content - Blog (Cerkl.com) - The AI Execution Gap in Internal Communications,"Topic: The AI Execution Gap in Internal Communications — reframe AI in IC from content-generation to the execution layer (delivery + proof-it-landed). July arc W2 (""Measure What Lands""); claim ""execution layer"" as Cerkl differentiation language.
Slug: ai-execution-internal-communications
Brief link: ../seo/briefs/ai-execution-internal-communications.md
Primary keyword: AI execution layer internal communications
Secondary keywords: AI execution gap, internal communications execution, AI internal comms strategy, beyond AI content generation
Webflow CMS properties:
  - Primary Category: internal-communication-strategy
  - Primary Solution: Educational
  - All Categories: AI in IC
Draft (Google Doc): https://docs.google.com/document/d/1O43ULdR5RW6HsqjKwznpA80NAq-sgAFWGFJwWLJ-264/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-30,2026-07-06
S001,Subtask,T001,,Blog – Copy,Write the blog post copy from the brief (../seo/briefs/ai-execution-internal-communications.md).,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-30,2026-07-02
S002,Subtask,T001,,Blog – Image Creation,Create or source images per the brief outline.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-02,2026-07-03
S003,Subtask,T001,,Blog – Approval,Review draft + edit pass; sign off for publishing.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-03,2026-07-03
S004,Subtask,T001,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-03,2026-07-06
T002,Task,,MCM-1139,Content - Blog (Cerkl.com) - AI in Microsoft Teams: Where Native Ends,"Topic: AI in Microsoft Teams — where the native Teams experience ends and a purpose-built IC layer begins (mobile-EX pillar). July arc W2. Brief written just-in-time in Wave 1.
Slug: ai-in-microsoft-teams-where-native-ends
Brief link: ../seo/briefs/ai-in-microsoft-teams-where-native-ends.md
Primary keyword: measure internal comms in microsoft teams
Secondary keywords: does teams track who read a message, microsoft teams read receipts internal comms, teams announcement analytics, internal comms delivery beyond native teams
Webflow CMS properties:
  - Primary Category: mobile-employee-experience
  - Primary Solution: Omni AI
  - All Categories: AI in IC, Remote/Hybrid
Draft (Google Doc): https://docs.google.com/document/d/1Dzx6K05rxcWOT33zv8huEa0bC5zGrkc67-vD5qIZHJ0/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-01,2026-07-08
S005,Subtask,T002,,Blog – Copy,Write the brief (Wave 1) then draft the blog post copy from it.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-01,2026-07-03
S006,Subtask,T002,,Blog – Image Creation,Create or source images per the brief outline.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-03,2026-07-06
S007,Subtask,T002,,Blog – Approval,Review draft + edit pass; sign off for publishing.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-07,2026-07-07
S008,Subtask,T002,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-07,2026-07-08
T003,Task,,MCM-1139,Content - Blog (ICP) - What AI-First Actually Changes for the IC Role,"Topic: What ""AI-first"" actually changes for the internal communicator's role (internalcommspro.com) — practitioner-framed; what shifts, what doesn't, where IC judgment still wins. July arc W2.
Slug: what-ai-first-actually-changes-ic-role
Note: ICPro has no brief queue — slug synthesized from the deliverable title at scaffold time
Draft (Google Doc): https://docs.google.com/document/d/1p_whYKFgKVLEm4yosGjd8Jlm8GyILuSG9IxRYe6JBYw/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-01,2026-07-07
S009,Subtask,T003,,Blog – Copy,Write the blog post copy (internalcommspro.com) from the outline.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-01,2026-07-03
S010,Subtask,T003,,Blog – Image Creation,Create or source images per the post outline.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-03,2026-07-06
S011,Subtask,T003,,Blog – Approval,Review draft + edit pass; sign off for publishing.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-06,2026-07-06
S012,Subtask,T003,,Blog – Implementation / Publishing,Stage in Wix with CMS properties; schedule publish.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-07-06,2026-07-07
