ID,Issue Type,Epic Link,Summary,Description,Assignee,Channel,Start Date,Due Date,Parent
Task-001,Task,2026 Insights Update,Content - Blog (Cerkl.com) - What Good Internal Comms Analytics Actually Looks Like,Cerkl.com blog post. Topic: What good internal comms analytics actually looks like. Write 700-900 words for HR managers and internal communicators who want to understand what purpose-built analytics can do for their programs. Campaign: Prove Your Impact / 2026 Insights Update. Generate a draft covering what analytics features matter most how to read engagement data and what Foundations Insights give you that email clients do not.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-04-28,2026-05-05,
Subtask-001,Subtask,,Blog - Copy,Write the full post draft. Platform: Cerkl.com. Topic: what good internal comms analytics looks like. Campaign theme: Prove Your Impact / 2026 Insights Update.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-04-28,2026-04-30,Task-001
Subtask-002,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals for this post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-04-30,2026-05-02,Task-001
Subtask-003,Subtask,,Blog - Approval,Review and approve the draft and visuals. Check for campaign accuracy and brand alignment.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-02,2026-05-04,Task-001
Subtask-004,Subtask,,Blog - Implementation / Publishing,Publish to Cerkl.com. Confirm URL meta description and formatting before going live.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-04,2026-05-05,Task-001
Task-002,Task,2026 Insights Update,Content - Blog (ICP) - How to Benchmark Open and Click Rates for Employee Email,internalcommspro.com blog post. Topic: How to benchmark open and click rates for employee email. Write 700-900 words for internal communicators who want to compare their performance to industry standards. Campaign: Prove Your Impact / 2026 Insights Update. Generate a draft covering what good benchmarks look like how to interpret open vs click rate gaps and how segmentation affects performance.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-04-29,2026-05-06,
Subtask-005,Subtask,,Blog - Copy,Write the full post draft. Platform: internalcommspro.com. Topic: benchmarking open and click rates for employee email. Campaign theme: Prove Your Impact / 2026 Insights Update.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-04-29,2026-05-01,Task-002
Subtask-006,Subtask,,Blog - Image Creation,Create or source the featured image and any in-body visuals for this post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-01,2026-05-03,Task-002
Subtask-007,Subtask,,Blog - Approval,Review and approve the draft and visuals.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-03,2026-05-05,Task-002
Subtask-008,Subtask,,Blog - Implementation / Publishing,Publish to internalcommspro.com. Confirm URL meta description and formatting.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-05-05,2026-05-06,Task-002
Task-003,Task,2026 Insights Update,Social Media - LinkedIn - Why Internal Email Analytics Matter,LinkedIn static post (theme). Topic: Why internal email analytics matter. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 3-5 sentence post making the case for analytics in internal comms. ICP angle: teams running blind on distribution lists with no visibility into whether anyone opened their email.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-01,2026-05-06,
Subtask-009,Subtask,,LinkedIn - Copy,Write the post copy. Type: static/theme. Topic: why internal email analytics matter. Campaign: Prove Your Impact.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-01,2026-05-02,Task-003
Subtask-010,Subtask,,LinkedIn - Asset Creation,Design the static image for this post. Align with Prove Your Impact campaign visual style.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-02,2026-05-04,Task-003
Subtask-011,Subtask,,LinkedIn - Approval,Review and approve the copy and asset before scheduling.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-04,2026-05-05,Task-003
Subtask-012,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-05,2026-05-06,Task-003
Task-004,Task,2026 Insights Update,Social Media - LinkedIn - Link Post: Benchmark Open Rates Blog,LinkedIn static post (blog link). Topic: Benchmark open and click rates for employee email. Campaign: Prove Your Impact / 2026 Insights Update. Generate a 2-3 sentence link post teasing the benchmark data angle and driving to the internalcommspro.com post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-02,2026-05-07,
Subtask-013,Subtask,,LinkedIn - Copy,Write the link post copy. Type: static/blog. Topic: benchmarking employee email open and click rates. Include URL placeholder.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-02,2026-05-03,Task-004
Subtask-014,Subtask,,LinkedIn - Asset Creation,Design the static image for this LinkedIn link post.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-03,2026-05-05,Task-004
Subtask-015,Subtask,,LinkedIn - Approval,Review and approve the copy and asset before scheduling.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-05,2026-05-06,Task-004
Subtask-016,Subtask,,LinkedIn - Implementation / Publishing,Schedule and publish the post on LinkedIn.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-06,2026-05-07,Task-004
Task-005,Task,2026 Insights Update,Social Media - LinkedIn - Do You Currently Track Open Rates for Your Internal Emails?,LinkedIn poll. Topic: Open rate tracking in internal comms. Campaign: Prove Your Impact / 2026 Insights Update. Generate 4 answer options ranging from yes with dedicated analytics to no I just hit send. Include a 1-2 sentence hook for the post copy.,712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-05-06,2026-05-08,
